[03-22-2016 19:13:16.617] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:13:16.618] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(118) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost port:3306
[03-22-2016 19:13:16.618] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:13:16.618] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:13:16.618] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:13:16.618] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:13:16.640] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:13:16.649] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:13:16.650] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[03-22-2016 19:13:16.652] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[03-22-2016 19:13:16.652] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[03-22-2016 19:13:22.276] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(42) - Initializing SQLPlus
[03-22-2016 19:13:22.369] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(93) - Create SQLPlusConnection
[03-22-2016 19:13:22.866] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(186) - User entered host:
[03-22-2016 19:13:23.871] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(202) - User entered database:
[03-22-2016 19:13:25.639] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(210) - Port entered: 
[03-22-2016 19:13:25.639] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(211) - Port string length: 0
[03-22-2016 19:13:25.639] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(229) - User entered port:
[03-22-2016 19:13:28.607] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(244) - User entered username:root
[03-22-2016 19:13:52.070] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(146) - The user wants to quit SQLPlus
[03-22-2016 19:13:52.075] [main] INFO  com.mijecu25.sqlplus.SQLPlus.exitSQLPlus(334) - Quitting SQLPlus
[03-22-2016 19:14:56.335] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[03-22-2016 19:14:56.336] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:14:56.336] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:14:56.337] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:14:56.337] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:14:56.353] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:14:56.724] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:14:56.725] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[03-22-2016 19:14:56.729] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[03-22-2016 19:14:56.730] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[03-22-2016 19:14:56.732] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[03-22-2016 19:14:56.732] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:14:56.732] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:14:56.732] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:14:56.733] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:14:56.766] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:14:56.780] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:14:56.781] [main] WARN  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(162) - There is not an SQLPlusMySQLConnection
[03-22-2016 19:14:56.781] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(169) - Returning a SQLPlusMySQLConnection instance null
[03-22-2016 19:14:56.781] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(142) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost
[03-22-2016 19:14:56.781] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:14:56.782] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:14:56.782] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:14:56.782] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:14:56.816] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:14:56.827] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(149) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:14:56.828] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(92) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost database:mysql port:3306
[03-22-2016 19:14:56.828] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:14:56.828] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:14:56.828] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:14:56.828] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:14:56.858] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:14:56.866] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(99) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:14:56.867] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(118) - Creating a new SQLPlusMySQLConnection instance with username:root password:********* host:localhost port:3306
[03-22-2016 19:14:56.867] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.<init>(51) - Instantiating the credentials that will be used to connect to a mysql database
[03-22-2016 19:14:56.867] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(44) - Creating SQLPlusMySQLConnection with username:root password:********* host: localhost database:mysql port:3306
[03-22-2016 19:14:56.867] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.<init>(48) - Will connect to a MySQL database using the credentials provided
[03-22-2016 19:14:56.867] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(75) - Adding the connection properties to connect to a mysql database
[03-22-2016 19:14:56.886] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.connect(87) - Attempting to connect to the database
[03-22-2016 19:14:56.894] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusMySQLConnection.getConnection(125) - Returning a SQLPlusMySQLConnection instance SQLPlusConnection [username=root, host=localhost, database=mysql, port=3306]
[03-22-2016 19:14:56.894] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.execute(108) - Query to be executed: "show databases;"
[03-22-2016 19:14:56.895] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(140) - Attempting to disconnect from the database
[03-22-2016 19:14:56.895] [main] INFO  com.mijecu25.sqlplus.connection.SQLPlusConnection.disconnect(142) - Disconnected from the database
[03-22-2016 19:15:00.310] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(42) - Initializing SQLPlus
[03-22-2016 19:15:00.405] [main] INFO  com.mijecu25.sqlplus.SQLPlus.main(90) - Create SQLPlusConnection
[03-22-2016 19:15:03.142] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(183) - User entered host:
[03-22-2016 19:15:03.307] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(199) - User entered database:
[03-22-2016 19:15:06.283] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(207) - Port entered: 5464564
[03-22-2016 19:15:06.284] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(208) - Port string length: 7
[03-22-2016 19:15:06.284] [main] WARN  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(218) - The user provided an invalid port number: 5464564
[03-22-2016 19:15:07.835] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(207) - Port entered: 
[03-22-2016 19:15:07.836] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(208) - Port string length: 0
[03-22-2016 19:15:07.836] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(226) - User entered port:
[03-22-2016 19:15:09.731] [main] INFO  com.mijecu25.sqlplus.SQLPlus.createSQLPlusConnection(241) - User entered username:root
